States/Uts,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Andhra Pradesh,8616,9343,9126,11378,11885,12233,12676,13932,13783,13560,13175,7277,7524,7851
Arunachal Pradesh,65,79,63,87,81,90,114,108,96,94,120,92,117,103
Assam,1120,1177,1420,1627,1483,1641,1735,1924,2015,2011,2162,2169,2122,2445
Bihar,2138,1579,1462,2315,3074,3514,4038,4513,4676,4706,4612,4505,4771,4425
Chhattisgarh,1788,1892,2049,2288,2496,2600,2566,2668,2659,2783,3059,3570,3710,3527
Goa,207,281,220,290,300,294,298,307,314,271,249,283,302,316
Gujarat,4335,4671,4922,5435,5958,6132,6112,6648,7045,6896,6786,7063,7332,7296
Haryana,2722,3032,3010,3483,3980,4071,4227,4168,4255,3963,4095,4214,4430,4636
Himachal Pradesh,507,527,549,577,659,568,760,766,735,732,736,831,843,1000
Jammu & Kashmir,609,669,660,646,717,694,773,814,846,863,809,886,749,734
Jharkhand,1576,1685,1784,1784,2078,1829,2042,2256,2279,2540,2425,2259,2619,2681
Karnataka,5493,5786,6093,7092,7875,7848,7717,8354,8091,8485,8870,9485,9888,10215
Kerala,2650,2824,2956,3390,3465,3632,3556,3646,3896,4013,3972,3823,3937,4064
Madhya Pradesh,3868,4171,4620,4846,5457,5861,6415,7044,6992,7120,7565,7554,8412,8774
Maharashtra,8159,8555,8867,9796,9802,10789,10143,11188,11557,11994,11336,11528,12009,11780
Manipur,114,87,115,127,103,109,99,121,142,138,144,149,116,78
Meghalaya,137,108,106,125,107,103,124,131,147,161,124,127,153,146
Mizoram,71,40,52,53,44,53,51,63,59,69,77,88,50,61
Nagaland,43,42,48,60,74,57,33,24,24,24,34,68,23,41
Odisha,1954,2227,2279,2456,2726,2838,3043,3388,3220,3285,3481,3506,3855,4036
Punjab,2352,2317,2447,2724,2664,2840,3216,3282,4483,4359,4164,4285,4357,4584
Rajasthan,5050,5488,5815,6252,7036,7241,8010,8143,8354,8550,8785,9334,9306,9282
Sikkim,22,26,53,40,31,32,55,32,48,44,66,53,61,60
Tamil Nadu,8393,8733,8843,10055,11034,11813,12727,14241,14359,15072,14504,14165,14524,16092
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6316,6569,6617
Tripura,147,166,188,187,195,190,216,224,229,240,219,168,154,165
Uttarakhand,513,617,622,758,773,717,676,740,726,686,642,713,765,801
Uttar Pradesh,7038,8739,8832,9592,10256,11652,12679,13282,13004,13293,13077,13842,15218,16164
West Bengal,1793,2246,4073,3896,4232,4671,4135,4975,5107,4911,5077,5489,5779,6081
Andaman & Nicobar Islands,12,15,17,18,21,22,31,25,17,24,32,20,22,16
Chandigarh,132,144,133,134,142,144,164,132,129,130,114,124,124,144
Dadra & Nagar Haveli,34,46,51,43,61,62,43,61,61,50,47,53,36,40
Daman & Diu,19,23,21,24,29,29,32,30,33,26,30,15,38,32
Delhi,1730,1846,1771,2129,2081,2015,2272,2104,2007,1822,1778,1629,1582,1548
Lakshadweep,0,0,0,1,0,0,1,0,0,NA,0,0,0,1
Puducherry,182,176,224,209,242,207,214,224,230,178,223,145,229,235
All India,73589,79357,83491,93917,101161,106591,110993,119558,121618,123093,122589,125828,131726,136071
