S. No.,States/Uts,06-900hrs - Day - 2014,09-1200hrs - Day - 2014,12-1500hrs - Day - 2014,15-1800hrs - Day - 2014,18-2100hrs - Night - 2014,21-2400hrs - Night - 2014,00-300hrs - Night - 2014,03-600hrs - Night - 2014,Total Accidents - 2014,06-900hrs - (Day) - 2016,09-1200hrs - (Day) - 2016,12-1500hrs - (Day) - 2016,15-1800hrs - (Day) - 2016,18-2100hrs - (Night) - 2016,21-2400hrs - (Night) - 2016,00-300hrs - (Night) - 2016,03-600hrs - (Night) - 2016,Total Accidents - 2016
1,Andhra Pradesh,2548,3448,3491,3606,4058,2989,2031,2269,24440,2707,3516,3617,4348,4742,2774,1461,1723,24888
2,Arunachal Pradesh,43,30,28,20,16,23,19,26,205,50,37,33,38,25,20,19,27,249
3,Assam,1034,1633,1092,1456,979,416,308,226,7144,940,1354,1280,1219,1114,683,378,467,7435
4,Bihar,1433,1661,1484,1485,1092,823,677,901,9556,1169,1431,1268,1244,1073,689,466,882,8222
5,Chhattisgarh,1677,2316,2064,2550,2256,1394,755,809,13821,1592,2269,2221,2441,2657,1242,619,539,13580
6,Goa,381,681,711,818,803,485,214,136,4229,402,686,732,797,861,451,237,138,4304
7,Gujarat,2707,3732,3547,3911,3987,2643,1471,1714,23712,2357,3412,3347,3743,4106,2455,1281,1158,21859
8,Haryana,1199,1414,1458,1687,1690,1324,948,956,10676,1314,1469,1614,1737,2010,1305,896,889,11234
9,Himachal Pradesh,285,465,526,675,585,269,128,125,3058,301,462,492,612,687,341,146,127,3168
10,Jammu & Kashmir,477,1098,1328,1162,878,401,281,236,5861,401,904,1216,1511,794,358,147,170,5501
11,Jharkhand,789,988,713,892,699,370,236,514,5201,676,665,655,809,671,472,440,544,4932
12,Karnataka,4492,6522,6665,7181,7740,5050,3042,3021,43713,4953,7158,7031,7458,7342,4832,2595,3034,44403
13,Kerala,3484,6979,5922,8253,7171,2919,617,937,36282,4110,7769,6509,8850,7188,3112,764,1118,39420
14,Madhya Pradesh,6127,10708,9797,9108,7848,4770,2484,2630,53472,5340,9079,9653,10079,8952,6484,2433,1952,53972
15,Maharashtra,5199,9247,9926,10551,10656,7446,4762,3840,61627,3802,5611,5768,6520,6813,4939,3394,3031,39878
16,Manipur,38,153,149,161,164,58,12,8,743,31,78,93,132,139,43,16,6,538
17,Meghalaya,23,24,43,97,76,115,81,83,542,72,74,62,82,113,78,72,67,620
18,Mizoram,9,10,17,35,29,18,4,10,132,8,11,7,28,11,8,1,9,83
19,Nagaland,33,82,79,88,18,5,0,0,305,8,15,19,11,10,8,1,3,75
20,Orissa,1135,1530,1262,1618,1520,1022,656,905,9648,1171,1658,1631,1818,1840,1094,567,753,10532
21,Punjab,979,924,852,928,1105,713,381,509,6391,892,1010,995,1086,1301,804,427,437,6952
22,Rajasthan,2717,3853,4125,4506,4302,2545,1364,1216,24628,2461,3674,4024,4473,4001,2355,1005,1073,23066
23,Sikkim,11,50,47,37,41,17,0,0,203,24,54,34,41,21,16,8,12,210
24,Tamil Nadu,7973,9593,9955,11902,13927,7158,2685,4057,67250,9009,10241,10111,12103,14241,7827,3415,4484,71431
25,Telangana,2078,2468,2527,3107,3304,2424,1753,2417,20078,2199,3123,3226,4182,4602,2730,1280,1469,22811
26,Tripura,61,150,122,150,132,70,16,15,716,68,124,101,91,103,57,4,9,557
27,Uttarakhand,189,218,239,268,225,119,64,88,1410,239,245,268,242,260,154,57,126,1591
28,Uttar Pradesh,3724,4417,4968,4780,4378,3704,2435,2628,31034,5073,5351,4596,4974,5100,3622,2737,4159,35612
29,West Bengal,1529,2431,1790,1883,1741,1373,966,1162,12875,2091,3029,1454,3829,2054,510,177,436,13580
30,A & N Islands,25,28,55,36,41,23,4,6,218,29,34,49,52,40,17,8,9,238
31,Chandigarh,45,46,53,48,79,63,26,9,369,37,58,70,63,69,86,30,15,428
32,D & N Haveli,8,7,13,22,28,6,2,1,87,5,8,10,15,16,14,1,1,70
33,Daman & Diu,4,4,6,8,12,3,2,0,39,4,6,13,11,22,12,3,0,71
34,Delhi,879,1072,1151,1204,1423,1673,726,495,8623,766,923,935,942,1247,1138,747,677,7375
35,Lakshadweep,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
36,Puducherry,115,155,178,203,251,139,29,41,1111,221,233,246,253,330,239,144,100,1766
Total,Total,53450,78137,76384,84436,83254,52570,29179,31990,489400,54522,75771,73380,85834,84555,50970,25976,29644,480652
